node_1,node_2,distance
Vitezne namesti,Dejvicka,2
Vitezne namesti,Hradcanska,3
Vitezne namesti,Lotysska,1
Vitezne namesti,Prasny most,2
Vltavska,Prazska trznice,1
Vltavska,Strossmayerovo namesti,1
Vltavska,Tesnov,2
Vodickova,Lazarska,1
Vodickova,Vaclavske namesti,2
Vojenska nemocnice,Baterie,1
Vojenska nemocnice,Vetrnik,1
Vosmikovych,Bulovka,1
Vosmikovych,U Krize,1
Vozovna Hloubetin,Novy Hloubetin,0
Vozovna Hloubetin,Stary Hloubetin,1
Vozovna Kobylisy,Libeznicka,1
Vozovna Motol,Hotel Golf,1
Vozovna Motol,Motol,1
Vozovna Pankrac,Na Veseli,1
Vozovna Strasnice,Krematorium Strasnice,1
Vozovna Strasnice,Nad Primaskou,1
Vozovna Strasnice,Vinice,1
Vozovna Stresovice,Hladkov,1
Vozovna Stresovice,Prasny most,2
Vozovna Stresovice,Sibeliova,2
Vozovna Vokovice,Divoka Sarka,2
Vozovna Vokovice,Nad Dzbanem,1
Vozovna Zizkov,Ohrada,1
Vozovna Zizkov,Strazni,1
Vrsovicke namesti,Cechovo namesti,1
Vrsovicke namesti,Ruska,1
Vychovatelna,Bulovka,1
Vychovatelna,Okrouhlicka,1
Vypich,Obora Hvezda,1
Vypich,Ricanova,1
Vysocanska,Nadrazi Vysocany,1
Vystaviste Holesovice,Nadrazi Holesovice,2
Vystaviste Holesovice,Veletrzni palac,1
Vyton,Albertov,1
Vyton,Palackeho namesti (nabrezi),1
Vyton,Podolska vodarna,2
Zahradni Mesto,Na Padesatem,1
Zahradni Mesto,Sidliste Zahradni Mesto,1
Zborov - Strasnicke divadlo,Nove Strasnice,1
Zborov - Strasnicke divadlo,Solidarita,1
Zborovska,Andel,2
Zborovska,Jiraskovo namesti,2
Zborovska,Palackeho namesti,1
Zborovska,Palackeho namesti (nabrezi),2
Zelena,Lotysska,1
Zelena,Nadrazi Podbaba,1
Zelivskeho,Mezi Hrbitovy,2
Zelivskeho,Olsanske hrbitovy,1
Zelivskeho,Vinohradske hrbitovy,1
Zlichov,Hlubocepy,2
Zlichov,Lihovar,2
Zvonarka,Bruselska,0
